120.1_0_326:E: Re(Ey) vs t, x=1.201e-07(m), y=0(m), z=3.26e-07(m) 

t(fs), Re(Ey)
0, 0
0.00228789, 0
0.00457578, 0
0.00686367, 0
0.00915156, 0
0.0114394, 0
0.0137273, 0
0.0160152, 0
0.0183031, 0
0.020591, 0
0.0228789, 0
0.0251668, 0
0.0274547, 0
0.0297426, 0
0.0320305, 0
0.0343183, 0
0.0366062, 0
0.0388941, 0
0.041182, 0
0.0434699, 0
0.0457578, 0
0.0480457, 0
0.0503336, 0
0.0526215, 0
0.0549094, 0
0.0571972, 0
0.0594851, 0
0.061773, 0
0.0640609, 0
0.0663488, 0
0.0686367, 0
0.0709246, 0
0.0732125, 0
0.0755004, 0
0.0777883, 0
0.0800761, 0
0.082364, 0
0.0846519, 0
0.0869398, 0
0.0892277, 0
0.0915156, 0
0.0938035, 0
0.0960914, 0
0.0983793, 0
0.100667, 0
0.102955, 0
0.105243, 0
0.107531, 0
0.109819, 0
0.112107, 0
0.114394, 0
0.116682, 0
0.11897, 0
0.121258, 0
0.123546, 0
0.125834, 0
0.128122, 0
0.13041, 0
0.132698, 0
0.134986, 0
0.137273, 0
0.139561, 0
0.141849, 0
0.144137, 0
0.146425, 0
0.148713, 0
0.151001, 0
0.153289, 0
0.155577, 0
0.157864, 0
0.160152, 0
0.16244, 0
0.164728, 0
0.167016, 0
0.169304, 0
0.171592, 0
0.17388, 0
0.176168, 0
0.178455, 0
0.180743, 0
0.183031, 0
0.185319, 0
0.187607, 0
0.189895, 0
0.192183, 0
0.194471, 0
0.196759, 0
0.199046, 0
0.201334, 0
0.203622, 0
0.20591, 0
0.208198, 0
0.210486, 0
0.212774, 0
0.215062, 0
0.21735, 0
0.219637, 0
0.221925, 0
0.224213, 0
0.226501, 0
0.228789, 0
0.231077, 0
0.233365, 0
0.235653, 0
0.237941, 0
0.240228, 0
0.242516, 0
0.244804, 0
0.247092, 0
0.24938, 0
0.251668, 0
0.253956, 0
0.256244, 0
0.258532, 0
0.260819, 0
0.263107, 0
0.265395, 0
0.267683, 0
0.269971, 0
0.272259, 0
0.274547, 0
0.276835, 0
0.279123, 0
0.28141, 0
0.283698, 0
0.285986, 0
0.288274, 0
0.290562, 0
0.29285, 0
0.295138, 0
0.297426, 0
0.299714, 0
0.302001, 0
0.304289, 0
0.306577, 0
0.308865, 0
0.311153, 0
0.313441, 0
0.315729, 0
0.318017, 0
0.320305, 0
0.322592, 0
0.32488, 0
0.327168, 0
0.329456, 0
0.331744, 0
0.334032, 0
0.33632, 0
0.338608, 0
0.340896, 0
0.343183, 0
0.345471, 0
0.347759, 0
0.350047, 0
0.352335, 0
0.354623, 0
0.356911, 0
0.359199, 0
0.361487, 0
0.363774, 0
0.366062, 0
0.36835, 0
0.370638, 0
0.372926, 0
0.375214, 0
0.377502, 0
0.37979, 0
0.382078, 0
0.384365, 0
0.386653, 0
0.388941, 0
0.391229, 0
0.393517, 0
0.395805, 0
0.398093, 0
0.400381, 0
0.402669, 0
0.404957, 0
0.407244, 0
0.409532, 0
0.41182, 0
0.414108, 0
0.416396, 0
0.418684, 0
0.420972, 0
0.42326, 0
0.425548, 0
0.427835, 0
0.430123, 0
0.432411, 0
0.434699, 0
0.436987, 0
0.439275, 0
0.441563, 0
0.443851, 0
0.446139, 0
0.448426, 0
0.450714, 0
0.453002, 0
0.45529, 0
0.457578, 0
0.459866, 0
0.462154, 0
0.464442, 0
0.46673, 0
0.469017, 0
0.471305, 0
0.473593, 0
0.475881, 0
0.478169, 0
0.480457, 0
0.482745, 0
0.485033, 0
0.487321, 0
0.489608, 0
0.491896, 0
0.494184, 0
0.496472, 0
0.49876, 0
0.501048, 0
0.503336, 0
0.505624, 0
0.507912, 0
0.510199, 0
0.512487, 0
0.514775, 0
0.517063, 0
0.519351, 0
0.521639, 0
0.523927, 0
0.526215, 0
0.528503, 0
0.53079, 0
0.533078, 0
0.535366, 0
0.537654, 0
0.539942, 0
0.54223, 0
0.544518, 0
0.546806, 0
0.549094, 0
0.551381, 0
0.553669, 0
0.555957, 0
0.558245, 0
0.560533, 0
0.562821, 0
0.565109, 0
0.567397, 0
0.569685, 0
0.571972, 0
0.57426, 0
0.576548, 0
0.578836, 0
0.581124, 0
0.583412, 0
0.5857, 0
0.587988, 0
0.590276, 0
0.592563, 0
0.594851, 0
0.597139, 0
0.599427, 0
0.601715, 0
0.604003, 0
0.606291, 0
0.608579, 0
0.610867, 0
0.613154, 0
0.615442, 0
0.61773, 0
0.620018, 0
0.622306, 0
0.624594, 0
0.626882, 0
0.62917, 0
0.631458, 0
0.633745, 0
0.636033, 0
0.638321, 0
0.640609, 0
0.642897, 0
0.645185, 0
0.647473, 0
0.649761, 0
0.652049, 0
0.654336, 0
0.656624, 0
0.658912, 0
0.6612, 0
0.663488, 0
0.665776, 0
0.668064, 0
0.670352, 0
0.67264, 0
0.674928, 0
0.677215, 0
0.679503, 0
0.681791, 0
0.684079, 0
0.686367, 0
0.688655, 0
0.690943, 0
0.693231, 0
0.695519, 0
0.697806, 0
0.700094, 0
0.702382, 0
0.70467, 0
0.706958, 0
0.709246, 0
0.711534, 0
0.713822, 0
0.71611, 0
0.718397, 0
0.720685, 0
0.722973, 0
0.725261, 0
0.727549, 0
0.729837, 0
0.732125, 0
0.734413, 0
0.736701, 0
0.738988, 0
0.741276, 0
0.743564, 0
0.745852, 0
0.74814, 0
0.750428, 0
0.752716, 0
0.755004, 0
0.757292, 0
0.759579, 0
0.761867, 0
0.764155, 0
0.766443, 0
0.768731, 0
0.771019, 0
0.773307, 0
0.775595, 0
0.777883, 0
0.78017, 0
0.782458, 0
0.784746, 0
0.787034, 0
0.789322, 0
0.79161, 0
0.793898, 0
0.796186, 0
0.798474, 0
0.800761, 0
0.803049, 0
0.805337, 0
0.807625, 0
0.809913, 0
0.812201, 0
0.814489, 0
0.816777, 0
0.819065, 0
0.821352, 0
0.82364, 0
0.825928, 0
0.828216, 0
0.830504, 0
0.832792, 0
0.83508, 0
0.837368, 0
0.839656, 0
0.841943, 0
0.844231, 0
0.846519, 0
0.848807, 0
0.851095, 0
0.853383, 0
0.855671, 0
0.857959, 0
0.860247, 0
0.862534, 0
0.864822, 0
0.86711, 0
0.869398, 0
0.871686, 0
0.873974, 0
0.876262, 0
0.87855, 0
0.880838, 0
0.883125, 0
0.885413, 0
0.887701, 0
0.889989, 0
0.892277, 0
0.894565, 0
0.896853, 0
0.899141, 0
0.901429, 0
0.903716, 0
0.906004, 0
0.908292, 0
0.91058, 0
0.912868, 0
0.915156, 0
0.917444, 0
0.919732, 0
0.92202, 0
0.924307, 0
0.926595, 0
0.928883, 0
0.931171, 0
0.933459, 0
0.935747, 0
0.938035, 0
0.940323, 0
0.942611, 0
0.944899, 0
0.947186, 0
0.949474, 0
0.951762, 0
0.95405, 0
0.956338, 0
0.958626, 0
0.960914, 0
0.963202, 0
0.96549, 0
0.967777, 0
0.970065, 0
0.972353, 0
0.974641, 0
0.976929, 0
0.979217, 0
0.981505, 0
0.983793, 0
0.986081, 0
0.988368, 0
0.990656, 0
0.992944, 0
0.995232, 0
0.99752, 0
0.999808, 0
1.0021, 0
1.00438, 0
1.00667, 0
1.00896, 0
1.01125, 0
1.01354, 0
1.01582, 0
1.01811, 0
1.0204, 0
1.02269, 0
1.02497, 0
1.02726, 0
1.02955, 0
1.03184, 0
1.03413, 0
1.03641, 0
1.0387, 0
1.04099, 0
1.04328, 0
1.04557, 0
1.04785, 0
1.05014, 0
1.05243, 0
1.05472, 0
1.05701, 0
1.05929, 0
1.06158, 0
1.06387, 0
1.06616, 0
1.06844, 0
1.07073, 0
1.07302, 0
1.07531, 0
1.0776, 0
1.07988, 0
1.08217, 0
1.08446, 0
1.08675, 0
1.08904, 0
1.09132, 0
1.09361, 0
1.0959, 0
1.09819, 0
1.10048, 0
1.10276, 0
1.10505, 0
1.10734, 0
1.10963, 0
1.11191, 0
1.1142, 0
1.11649, 0
1.11878, 0
1.12107, 0
1.12335, 0
1.12564, 0
1.12793, 0
1.13022, 0
1.13251, 0
1.13479, 0
1.13708, 0
1.13937, 0
1.14166, 0
1.14394, 0
1.14623, 0
1.14852, 0
1.15081, 0
1.1531, 0
1.15538, 0
1.15767, 0
1.15996, 0
1.16225, 0
1.16454, 0
1.16682, 0
1.16911, 0
1.1714, 0
1.17369, 0
1.17598, 0
1.17826, 0
1.18055, 0
1.18284, 0
1.18513, 0
1.18741, 0
1.1897, 0
1.19199, 0
1.19428, 0
1.19657, 0
1.19885, 0
1.20114, 0
1.20343, 0
1.20572, 0
1.20801, 0
1.21029, 0
1.21258, 0
1.21487, 0
1.21716, 0
1.21945, 0
1.22173, 0
1.22402, 0
1.22631, 0
1.2286, 0
1.23088, 0
1.23317, 0
1.23546, 0
1.23775, 0
1.24004, 0
1.24232, 0
1.24461, 0
1.2469, 0
1.24919, 0
1.25148, 0
1.25376, 0
1.25605, 0
1.25834, 0
1.26063, 0
1.26292, 0
1.2652, 0
1.26749, 0
1.26978, 0
1.27207, 0
1.27435, 0
1.27664, 0
1.27893, 0
1.28122, 0
1.28351, 0
1.28579, 0
1.28808, 0
1.29037, 0
1.29266, 0
1.29495, 0
1.29723, 0
1.29952, 0
1.30181, 0
1.3041, 0
1.30639, 0
1.30867, 0
1.31096, 0
1.31325, 0
1.31554, 0
1.31782, 0
1.32011, 0
1.3224, 0
1.32469, 0
1.32698, 0
1.32926, 0
1.33155, 0
1.33384, 0
1.33613, 0
1.33842, 0
1.3407, 0
1.34299, 0
1.34528, 0
1.34757, 0
1.34986, 0
1.35214, 0
1.35443, 0
1.35672, 0
1.35901, 0
1.36129, 0
1.36358, 0
1.36587, 0
1.36816, 0
1.37045, 0
1.37273, 0
1.37502, 0
1.37731, 0
1.3796, 0
1.38189, 0
1.38417, 0
1.38646, 0
1.38875, 0
1.39104, 0
1.39332, 0
1.39561, 0
1.3979, 0
1.40019, 0
1.40248, 0
1.40476, 0
1.40705, 0
1.40934, 0
1.41163, 0
1.41392, 0
1.4162, 0
1.41849, 0
1.42078, 0
1.42307, 0
1.42536, 0
1.42764, 0
1.42993, 0
1.43222, 0
1.43451, 0
1.43679, 0
1.43908, 0
1.44137, 0
1.44366, 0
1.44595, 0
1.44823, 0
1.45052, 0
1.45281, 0
1.4551, 0
1.45739, 0
1.45967, 0
1.46196, 0
1.46425, 0
1.46654, 0
1.46883, 0
1.47111, 0
1.4734, 0
1.47569, 0
1.47798, 0
1.48026, 0
1.48255, 0
1.48484, 0
1.48713, 0
1.48942, 0
1.4917, 0
1.49399, 0
1.49628, 0
1.49857, 0
1.50086, 0
1.50314, 0
1.50543, 0
1.50772, 0
1.51001, 0
1.5123, 0
1.51458, 0
1.51687, 0
1.51916, 0
1.52145, 0
1.52373, 0
1.52602, 0
1.52831, 0
1.5306, 0
1.53289, 0
1.53517, 0
1.53746, 0
1.53975, 0
1.54204, 0
1.54433, 0
1.54661, 0
1.5489, 0
1.55119, 0
1.55348, 0
1.55577, 0
1.55805, 0
1.56034, 0
1.56263, 0
1.56492, 0
1.5672, 0
1.56949, 0
1.57178, 0
1.57407, 0
1.57636, 0
1.57864, 0
1.58093, 0
1.58322, 0
1.58551, 0
1.5878, 0
1.59008, 0
1.59237, 0
1.59466, 0
1.59695, 0
1.59924, 0
1.60152, 0
1.60381, 0
1.6061, 0
1.60839, 0
1.61067, 0
1.61296, 0
1.61525, 0
1.61754, 0
1.61983, 0
1.62211, 0
1.6244, 0
1.62669, 0
1.62898, 0
1.63127, 0
1.63355, 0
1.63584, 0
1.63813, 0
1.64042, 0
1.6427, 0
1.64499, 0
1.64728, 0
1.64957, 0
1.65186, 0
1.65414, 0
1.65643, 0
1.65872, 0
1.66101, 0
1.6633, 0
1.66558, 0
1.66787, 0
1.67016, 0
1.67245, 0
1.67474, 0
1.67702, 0
1.67931, 0
1.6816, 0
1.68389, 0
1.68617, 0
1.68846, 0
1.69075, 0
1.69304, 0
1.69533, 0
1.69761, 0
1.6999, 0
1.70219, 0
1.70448, 0
1.70677, 0
1.70905, 0
1.71134, 0
1.71363, 0
1.71592, 0
1.71821, 0
1.72049, 0
1.72278, 0
1.72507, 0
1.72736, 0
1.72964, 0
1.73193, 0
1.73422, 0
1.73651, 0
1.7388, 0
1.74108, 0
1.74337, 0
1.74566, 0
1.74795, 0
1.75024, 0
1.75252, 0
1.75481, 0
1.7571, 0
1.75939, 0
1.76168, 0
1.76396, 0
1.76625, 0
1.76854, 0
1.77083, 0
1.77311, 0
1.7754, 0
1.77769, 0
1.77998, 0
1.78227, 0
1.78455, 0
1.78684, 0
1.78913, 0
1.79142, 0
1.79371, 0
1.79599, 0
1.79828, 0
1.80057, 0
1.80286, 0
1.80515, 0
1.80743, 0
1.80972, 0
1.81201, 0
1.8143, 0
1.81658, 0
1.81887, 0
1.82116, 0
1.82345, 0
1.82574, 0
1.82802, 0
1.83031, 0
1.8326, 0
1.83489, 0
1.83718, 0
1.83946, 0
1.84175, 0
1.84404, 0
1.84633, 0
1.84861, 0
1.8509, 0
1.85319, 0
1.85548, 0
1.85777, 0
1.86005, 0
1.86234, 0
1.86463, 0
1.86692, 0
1.86921, 0
1.87149, 0
1.87378, 0
1.87607, 0
1.87836, 0
1.88065, 0
1.88293, 0
1.88522, 0
1.88751, 0
1.8898, 0
1.89208, 0
1.89437, 0
1.89666, 0
1.89895, 0
1.90124, 0
1.90352, 0
1.90581, 0
1.9081, 0
