121.1_0_331:E: Re(Ez) vs t, x=1.211e-07(m), y=0(m), z=3.31e-07(m) 

t(fs), Re(Ez)
107.076, 0.0242547
107.078, 0.0234587
107.08, 0.0226342
107.082, 0.0218009
107.085, 0.0209686
107.087, 0.0201227
107.089, 0.019279
107.092, 0.0184232
107.094, 0.017575
107.096, 0.01673
107.098, 0.0158842
107.101, 0.0150527
107.103, 0.0142081
107.105, 0.0133716
107.108, 0.0125489
107.11, 0.0117428
107.112, 0.0109398
107.114, 0.0101543
107.117, 0.00938458
107.119, 0.00863102
107.121, 0.00788499
107.124, 0.00716071
107.126, 0.00647454
107.128, 0.00581548
107.13, 0.0051452
107.133, 0.00450908
107.135, 0.00389693
107.137, 0.00332087
107.14, 0.00276125
107.142, 0.00222318
107.144, 0.00173171
107.146, 0.00122824
107.149, 0.000764016
107.151, 0.000336375
107.153, -6.59646e-05
107.156, -0.000448969
107.158, -0.000825388
107.16, -0.00116792
107.162, -0.00149431
107.165, -0.00177494
107.167, -0.00205177
107.169, -0.00230951
107.172, -0.00255481
107.174, -0.00277968
107.176, -0.00298015
107.178, -0.00317702
107.181, -0.00334994
107.183, -0.00352056
107.185, -0.00368698
107.188, -0.0038476
107.19, -0.00397487
107.192, -0.0040993
107.195, -0.00424678
107.197, -0.00438326
107.199, -0.00450531
107.201, -0.00464125
107.204, -0.00476317
107.206, -0.00490451
107.208, -0.00504536
107.211, -0.00519399
107.213, -0.00531956
107.215, -0.00547342
107.217, -0.00564557
107.22, -0.00581591
107.222, -0.00600322
107.224, -0.00619498
107.227, -0.00640915
107.229, -0.00660534
107.231, -0.00684373
107.233, -0.00708635
107.236, -0.00734704
107.238, -0.00759739
107.24, -0.00788181
107.243, -0.0081735
107.245, -0.0084648
107.247, -0.00878057
107.249, -0.00911565
107.252, -0.00943798
107.254, -0.00978425
107.256, -0.0101415
107.259, -0.0105153
107.261, -0.0109004
107.263, -0.0112846
107.265, -0.0116696
107.268, -0.0120704
107.27, -0.0124839
107.272, -0.0128922
107.275, -0.0133106
107.277, -0.0137301
107.279, -0.0141684
107.281, -0.0145921
107.284, -0.0150318
107.286, -0.0154607
107.288, -0.0159061
107.291, -0.0163313
107.293, -0.0167652
107.295, -0.0172102
107.297, -0.0176442
107.3, -0.0180811
107.302, -0.0185138
107.304, -0.0189473
107.307, -0.0193581
107.309, -0.0197958
107.311, -0.0202255
107.313, -0.0206584
107.316, -0.021081
107.318, -0.0214957
107.32, -0.0219156
107.323, -0.0223063
107.325, -0.0227088
107.327, -0.0231391
107.329, -0.0235315
107.332, -0.0239365
107.334, -0.0243387
107.336, -0.0247464
107.339, -0.0251393
107.341, -0.0255452
107.343, -0.0259468
107.346, -0.0263261
107.348, -0.026738
107.35, -0.0271336
107.352, -0.0275282
107.355, -0.027914
107.357, -0.0283115
107.359, -0.0286969
107.362, -0.0291123
107.364, -0.0295223
107.366, -0.0299108
107.368, -0.0302983
107.371, -0.0306926
107.373, -0.0310981
107.375, -0.0314897
107.378, -0.0318871
107.38, -0.0322926
107.382, -0.0326649
107.384, -0.0330457
107.387, -0.033458
107.389, -0.0338452
107.391, -0.0342342
107.394, -0.0346125
107.396, -0.0349863
107.398, -0.0353473
107.4, -0.0357289
107.403, -0.0360768
107.405, -0.0364292
107.407, -0.0367677
107.41, -0.0370996
107.412, -0.0374264
107.414, -0.0377559
107.416, -0.0380726
107.419, -0.038366
107.421, -0.0386586
107.423, -0.0389147
107.426, -0.039173
107.428, -0.0394335
107.43, -0.0396728
107.432, -0.0398876
107.435, -0.040095
107.437, -0.0403033
107.439, -0.0404932
107.442, -0.0406654
107.444, -0.0408057
107.446, -0.0409539
107.448, -0.0411029
107.451, -0.0412099
107.453, -0.0413106
107.455, -0.0413976
107.458, -0.0414854
107.46, -0.0415711
107.462, -0.041628
107.464, -0.0416706
107.467, -0.0416989
107.469, -0.0417361
107.471, -0.0417552
107.474, -0.0417844
107.476, -0.0417971
107.478, -0.0417947
107.48, -0.0418034
107.483, -0.0418
107.485, -0.0418035
107.487, -0.0418081
107.49, -0.0417999
107.492, -0.0418002
107.494, -0.0418059
107.497, -0.041811
107.499, -0.0418151
107.501, -0.0418302
107.503, -0.041839
107.506, -0.0418588
107.508, -0.0418962
107.51, -0.0419335
107.513, -0.0419796
107.515, -0.0420276
107.517, -0.0420855
107.519, -0.0421359
107.522, -0.0422231
107.524, -0.042301
107.526, -0.0423912
107.529, -0.042486
107.531, -0.0426027
107.533, -0.0427259
107.535, -0.0428486
107.538, -0.0429877
107.54, -0.0431205
107.542, -0.0432521
107.545, -0.0433982
107.547, -0.0435447
107.549, -0.0436872
107.551, -0.0438271
107.554, -0.0439903
107.556, -0.0441256
107.558, -0.0442707
107.561, -0.044435
107.563, -0.0445724
107.565, -0.0447047
107.567, -0.0448112
107.57, -0.0449496
107.572, -0.0450728
107.574, -0.0451666
107.577, -0.0452457
107.579, -0.0453305
107.581, -0.0453821
107.583, -0.0454266
107.586, -0.0454714
107.588, -0.0454693
107.59, -0.0454646
107.593, -0.0454344
107.595, -0.0453919
107.597, -0.0453319
107.599, -0.0452624
107.602, -0.045148
107.604, -0.045002
107.606, -0.0448526
107.609, -0.0446822
107.611, -0.0444813
107.613, -0.0442945
107.615, -0.0440481
107.618, -0.0437678
107.62, -0.0434941
107.622, -0.0431867
107.625, -0.0428608
107.627, -0.0425037
107.629, -0.0421357
107.631, -0.0417471
107.634, -0.0413491
107.636, -0.040925
107.638, -0.0404922
107.641, -0.0400237
107.643, -0.0395543
107.645, -0.0390609
107.648, -0.038571
107.65, -0.0380385
107.652, -0.0375021
107.654, -0.0369796
107.657, -0.0364265
107.659, -0.0358771
107.661, -0.0353037
107.664, -0.0347273
107.666, -0.0341445
107.668, -0.0335565
107.67, -0.0329651
107.673, -0.0323743
107.675, -0.0317668
107.677, -0.031164
107.68, -0.0305537
107.682, -0.0299511
107.684, -0.0293413
107.686, -0.0287365
107.689, -0.0281201
107.691, -0.0275028
107.693, -0.0269039
107.696, -0.0262871
107.698, -0.0256603
107.7, -0.0250526
107.702, -0.0244578
107.705, -0.0238391
107.707, -0.0232385
107.709, -0.0226169
107.712, -0.0220114
107.714, -0.021405
107.716, -0.0207794
107.718, -0.0201661
107.721, -0.0195588
107.723, -0.0189323
107.725, -0.0183233
107.728, -0.0176918
107.73, -0.0170635
107.732, -0.0164565
107.734, -0.0158337
107.737, -0.0152097
107.739, -0.0145755
107.741, -0.0139327
107.744, -0.0132847
107.746, -0.0126452
107.748, -0.0119977
107.75, -0.0113528
107.753, -0.010681
107.755, -0.0100244
107.757, -0.00938434
107.76, -0.00871413
107.762, -0.00801896
107.764, -0.00734309
107.766, -0.00666583
107.769, -0.0059832
107.771, -0.0052882
107.773, -0.00459659
107.776, -0.00389696
107.778, -0.00319079
107.78, -0.00249776
107.782, -0.00178237
107.785, -0.00107903
107.787, -0.000375178
107.789, 0.00033546
107.792, 0.00105865
107.794, 0.00175905
107.796, 0.00248408
107.799, 0.00319531
107.801, 0.00391447
107.803, 0.00462225
107.805, 0.00534409
107.808, 0.00606318
107.81, 0.00677591
107.812, 0.00746516
107.815, 0.00815724
107.817, 0.00888085
107.819, 0.00958238
107.821, 0.0102906
107.824, 0.0109859
107.826, 0.011683
107.828, 0.0123716
107.831, 0.0130627
107.833, 0.0137456
107.835, 0.0144494
107.837, 0.0151195
107.84, 0.015797
107.842, 0.0164708
107.844, 0.0171427
107.847, 0.0178147
107.849, 0.0184794
107.851, 0.0191472
107.853, 0.0198049
107.856, 0.0204567
107.858, 0.0210892
107.86, 0.0217246
107.863, 0.0223926
107.865, 0.0230506
107.867, 0.023673
107.869, 0.0243002
107.872, 0.0249354
107.874, 0.0255647
107.876, 0.0261866
107.879, 0.0267931
107.881, 0.0273995
107.883, 0.0280182
107.885, 0.0286069
107.888, 0.0291926
107.89, 0.0297702
107.892, 0.0303546
107.895, 0.0309227
107.897, 0.0314797
107.899, 0.0320341
107.901, 0.0325875
107.904, 0.0330987
107.906, 0.0336033
107.908, 0.034122
107.911, 0.0346173
107.913, 0.0350945
107.915, 0.0355612
107.917, 0.0360029
107.92, 0.0364314
107.922, 0.0368618
107.924, 0.037255
107.927, 0.0376367
107.929, 0.037989
107.931, 0.0383392
107.933, 0.0386504
107.936, 0.0389495
107.938, 0.0392434
107.94, 0.0395086
107.943, 0.0397297
107.945, 0.0399492
107.947, 0.0401445
107.95, 0.040326
107.952, 0.0404656
107.954, 0.0406082
107.956, 0.0407173
107.959, 0.040803
107.961, 0.0408719
107.963, 0.0409144
107.966, 0.0409253
107.968, 0.040936
107.97, 0.0409221
107.972, 0.0408721
107.975, 0.0408292
107.977, 0.0407746
107.979, 0.0406888
107.982, 0.0405804
107.984, 0.0404745
107.986, 0.0403528
107.988, 0.0402168
107.991, 0.0400653
107.993, 0.0399029
107.995, 0.0397449
107.998, 0.0395541
108, 0.0393646
108.002, 0.0391847
108.004, 0.0389779
108.007, 0.0387832
108.009, 0.0385783
108.011, 0.0383529
108.014, 0.0381458
108.016, 0.0379456
108.018, 0.0377411
108.02, 0.037535
108.023, 0.0373245
108.025, 0.0371063
108.027, 0.0369086
108.03, 0.0367054
108.032, 0.0365074
108.034, 0.0363082
108.036, 0.0361102
108.039, 0.0359118
108.041, 0.0357077
108.043, 0.035517
108.046, 0.0353337
108.048, 0.0351224
108.05, 0.0349253
108.052, 0.0347373
108.055, 0.0345503
108.057, 0.0343388
108.059, 0.034137
108.062, 0.0339184
108.064, 0.0337183
108.066, 0.0334855
108.068, 0.0332695
108.071, 0.0330223
108.073, 0.0327723
108.075, 0.0325186
108.078, 0.0322493
108.08, 0.0319733
108.082, 0.0316719
108.084, 0.0313553
108.087, 0.0310174
108.089, 0.0306637
108.091, 0.0303083
108.094, 0.0299531
108.096, 0.0295604
108.098, 0.0291372
108.101, 0.028695
108.103, 0.0282438
108.105, 0.0277645
108.107, 0.027285
108.11, 0.0267689
108.112, 0.0262583
108.114, 0.0256938
108.117, 0.0251386
108.119, 0.0245419
108.121, 0.0239451
108.123, 0.0233262
108.126, 0.0226832
108.128, 0.0220381
108.13, 0.0213814
108.133, 0.0206938
108.135, 0.020011
108.137, 0.0193155
108.139, 0.0185979
108.142, 0.0179018
108.144, 0.0171797
108.146, 0.0164505
108.149, 0.0157226
108.151, 0.0149897
108.153, 0.0142688
108.155, 0.0135347
108.158, 0.0128003
108.16, 0.0120859
108.162, 0.0113606
108.165, 0.0106446
108.167, 0.00992312
108.169, 0.00922779
108.171, 0.00853321
108.174, 0.00786258
108.176, 0.00719182
108.178, 0.00653486
108.181, 0.00589838
108.183, 0.00525594
108.185, 0.00463187
108.187, 0.00401871
108.19, 0.00342668
108.192, 0.00284942
108.194, 0.00227928
108.197, 0.00171181
108.199, 0.00117376
108.201, 0.000654573
108.203, 0.000120863
108.206, -0.000399339
108.208, -0.000899131
108.21, -0.00139466
108.213, -0.0018707
108.215, -0.00235705
108.217, -0.00282001
108.219, -0.0032876
108.222, -0.00375052
108.224, -0.00420064
108.226, -0.00465255
108.229, -0.0050985
108.231, -0.00555807
108.233, -0.00601666
108.235, -0.00647968
108.238, -0.00692715
108.24, -0.00739597
108.242, -0.00786316
108.245, -0.00834053
108.247, -0.00879473
108.249, -0.00928618
108.252, -0.00978184
108.254, -0.0102784
108.256, -0.010773
108.258, -0.0112792
108.261, -0.0117847
108.263, -0.0123105
108.265, -0.0128368
108.268, -0.0133602
108.27, -0.0138946
108.272, -0.0144293
108.274, -0.0149707
108.277, -0.0155211
108.279, -0.0160654
108.281, -0.0166117
108.284, -0.0171339
108.286, -0.017675
108.288, -0.0182246
108.29, -0.0187331
108.293, -0.0192751
108.295, -0.0197843
108.297, -0.020285
108.3, -0.0207831
108.302, -0.0212458
108.304, -0.0217107
108.306, -0.022164
108.309, -0.022587
108.311, -0.0229902
108.313, -0.0233707
108.316, -0.0237422
108.318, -0.0240931
108.32, -0.0243981
108.322, -0.0246907
108.325, -0.0249744
108.327, -0.0251897
108.329, -0.0254146
108.332, -0.0256033
108.334, -0.0257567
108.336, -0.0258958
108.338, -0.0260033
108.341, -0.0260929
108.343, -0.0261374
108.345, -0.0261736
108.348, -0.0261755
108.35, -0.0261392
108.352, -0.026093
108.354, -0.0260235
108.357, -0.0259408
108.359, -0.0258268
108.361, -0.0257022
108.364, -0.02557
108.366, -0.0254083
108.368, -0.0252295
108.37, -0.0250512
108.373, -0.0248535
108.375, -0.0246533
108.377, -0.0244536
108.38, -0.0242411
108.382, -0.0240266
108.384, -0.0238011
108.386, -0.0235845
108.389, -0.0233832
108.391, -0.0231606
108.393, -0.0229523
108.396, -0.0227568
108.398, -0.0225691
108.4, -0.0223746
108.403, -0.0221973
108.405, -0.0220414
108.407, -0.0218993
108.409, -0.0217538
108.412, -0.0216302
108.414, -0.0215024
108.416, -0.0213932
108.419, -0.0212951
108.421, -0.0212068
108.423, -0.0211367
108.425, -0.0210801
108.428, -0.0210224
108.43, -0.0209748
108.432, -0.0209197
108.435, -0.0208968
108.437, -0.0208781
108.439, -0.0208532
108.441, -0.0208435
108.444, -0.0208154
108.446, -0.0207894
108.448, -0.020759
